date,Core,Deep,REM,Awake
2025-03-03,134.0,63.5,72.0,6.0
2025-03-04,188.5,68.5,82.0,1.5
2025-03-05,197.0,71.5,59.0,1.5
2025-03-06,180.5,67.0,94.5,2.6515151515151514
2025-03-07,185.0,81.0,85.0,2.0
2025-03-08,248.0,73.0,95.5,2.0
2025-03-09,175.5,54.5,58.0,9.0
2025-03-10,237.5,54.0,78.5,1.0
2025-03-11,193.0,58.0,91.0,1.5
2025-03-12,242.0,60.0,58.0,0.0
2025-03-13,191.5,53.5,98.0,2.6515151515151514
2025-03-15,173.0,87.5,89.5,0.0
2025-03-16,208.5,64.0,89.5,3.5
2025-03-17,139.5,68.0,65.5,3.5
2025-03-18,148.0,41.0,96.0,0.5
2025-03-19,150.5,68.5,54.0,0.0
2025-03-20,152.0,63.5,54.5,1.0
2025-04-01,232.5,40.5,76.0,3.0
2025-04-02,195.5,68.0,45.0,7.0
2025-04-05,227.5,76.5,63.0,3.0
2025-04-06,144.0,63.0,91.5,2.6515151515151514
2025-04-07,190.0,74.0,63.5,2.0
2025-04-08,205.0,97.5,62.0,1.0
2025-04-09,179.5,62.5,116.0,1.0
2025-04-10,178.5,68.5,75.5,4.0
2025-04-11,111.5,46.0,55.0,8.5
2025-04-12,155.0,95.5,87.0,1.0
2025-04-13,152.0,76.5,110.0,0.5
2025-04-14,178.5,87.0,76.0,3.5
2025-04-15,180.5,58.5,97.0,5.0
2025-04-16,190.0,76.0,85.5,8.0
2025-04-17,161.5,58.0,53.5,2.0
2025-04-20,150.5,78.0,94.0,0.0
2025-04-21,199.0,52.0,89.5,0.0
2025-04-22,203.5,62.0,91.5,4.5
